Invasive Cancer Incidence Rates by County in Iowa
"Lung and Bronchus, 2012"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Delaware,17578,8,45.51,32.50,13.89,67.79
Bremer,24477,10,40.85,31.76,15.14,60.34
Ringgold,5082,  ~,  ~,  ~,  ~,  ~
Monona,9138,5,54.72,26.65,8.44,79.12
Humboldt,9720,5,51.44,26.52,8.52,74.74
Osceola,6180,  ~,  ~,  ~,  ~,  ~
Audubon,5883,  ~,  ~,  ~,  ~,  ~
Howard,9576,  ~,  ~,  ~,  ~,  ~
STATE,3076310,2371,77.07,63.28, 60.72,65.92

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on Jun 12, 2019."
"Based on data released Nov 2017."
