Invasive Cancer Incidence Rates by County in Iowa
"Lung and Bronchus, 2011 - 2015"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Howard,47357,42,88.69,60.91,43.40,83.95
O'Brien,70461,65,92.25,60.61,46.45,78.34
Boone,131862,105,79.63,59.89,48.81,72.94
Floyd,80247,72,89.72,59.87,46.50,76.37
Winnebago,52998,49,92.46,59.71,43.72,80.51
Jackson,97896,82,83.76,59.55,47.02,74.75
Madison,78193,61,78.01,59.42,45.27,77.00
Davis,43741,35,80.02,59.03,41.04,83.03
Greene,45725,42,91.85,58.94,42.30,81.14
Clay,82666,74,89.52,58.52,45.66,74.37
Butler,74836,65,86.86,58.45,44.72,75.60
Carroll,103193,91,88.18,58.18,46.53,72.23
Calhoun,49607,47,94.74,58.01,41.95,79.22
Warren,237837,162,68.11,57.97,49.25,67.85
Chickasaw,61220,50,81.67,57.72,42.50,77.25
Fayette,102878,91,88.45,57.57,46.19,71.35
Shelby,59952,55,91.74,57.36,43.05,75.86
Crawford,86047,63,73.22,56.53,43.31,72.80
Story,467944,220,47.01,55.84,48.58,63.88
Dubuque,479355,337,70.30,55.34,49.52,61.71
Louisa,56480,41,72.59,55.23,39.55,75.62
Lyon,58618,40,68.24,55.16,39.09,75.97
Clayton,89076,73,81.95,54.29,42.17,69.30
Franklin,52488,41,78.11,53.14,37.78,73.47
Poweshiek,93444,69,73.84,52.79,40.61,67.85
Wright,64713,53,81.90,52.75,39.03,70.43
Buena Vista,102135,66,64.62,52.65,40.26,67.79
Taylor,31114,23,73.92,52.64,32.17,82.28
Plymouth,124490,91,73.10,51.26,41.15,63.38
Cherokee,59275,52,87.73,51.17,37.90,68.62
Washington,110130,77,69.92,50.67,39.81,63.87
Johnson,697200,287,41.16,50.48,44.63,56.87
Kossuth,76406,61,79.84,49.84,37.62,65.42
Hancock,55468,43,77.52,49.75,35.85,68.24
Worth,37816,28,74.04,49.42,32.42,73.49
Mitchell,53741,43,80.01,49.42,35.52,68.00
Allamakee,70327,54,76.78,47.74,35.78,63.19
Jefferson,87257,52,59.59,44.79,32.90,60.04
Iowa,81673,51,62.44,44.72,33.14,59.48
Grundy,62027,39,62.88,44.28,31.18,61.65
Bremer,122885,73,59.41,43.81,34.18,55.56
Delaware,87548,50,57.11,39.83,29.47,53.14
Osceola,31014,20,64.49,39.46,23.91,63.43
Pocahontas,35638,25,70.15,39.34,25.24,60.69
Winneshiek,104431,55,52.67,37.83,28.38,49.88
Sioux,172237,73,42.38,37.26,29.02,47.18
Audubon,29307,18,61.42,36.64,21.27,61.43
STATE,15463490,12130,78.44,63.63, 62.48,64.79

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on Jun 12, 2019."
"Based on data released Nov 2017."
