Invasive Cancer Incidence Rates by County in Iowa
"Lung and Bronchus, 2014"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Winneshiek,20728,10,48.24,35.00,16.61,68.09
Madison,15602,7,44.87,34.04,13.50,73.91
Jefferson,17671,8,45.27,32.43,13.03,70.74
Pocahontas,7123,  ~,  ~,  ~,  ~,  ~
O'Brien,14062,7,49.78,29.64,11.52,68.38
Osceola,6193,  ~,  ~,  ~,  ~,  ~
Louisa,11222,  ~,  ~,  ~,  ~,  ~
Sioux,34622,9,26.00,20.01,8.96,39.63
Davis,8745,  ~,  ~,  ~,  ~,  ~
STATE,3108030,2495,80.28,64.64, 62.08,67.27

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on Jun 12, 2019."
"Based on data released Nov 2017."
